"","No","Prefecture","TradePrice","EstimateTradePrice.fit","EstimateTradePrice.lwr","EstimateTradePrice.upr"
"17733", 28675,"Hokkaido",1.4e+07,-1.118136e+06,-1.666989e+06,-5.692821e+05
"17763", 28731,"Hokkaido",2.9e+07, 3.503238e+07, 3.437907e+07, 3.568569e+07
"17769", 28744,"Hokkaido",1.5e+07, 1.587539e+07, 1.558050e+07, 1.617029e+07
"17816", 28840,"Hokkaido",1.3e+07, 2.169262e+07, 2.137526e+07, 2.200998e+07
"17836", 28884,"Hokkaido",1.1e+07, 1.193707e+07, 1.166308e+07, 1.221105e+07
"17859", 28934,"Hokkaido",2.9e+07, 1.823628e+07, 1.779255e+07, 1.868001e+07
"17860", 28937,"Hokkaido",3.0e+07, 1.567403e+07, 1.529309e+07, 1.605496e+07
"17899", 29033,"Hokkaido",1.1e+07, 1.694837e+07, 1.664983e+07, 1.724690e+07
"17907", 29053,"Hokkaido",2.3e+07, 3.017758e+07, 2.957272e+07, 3.078244e+07
"18082", 29382,"Hokkaido",1.6e+07, 5.152248e+06, 4.470284e+06, 5.834211e+06
"18107", 29424,"Hokkaido",2.0e+07, 1.646434e+07, 1.619973e+07, 1.672895e+07
"18112", 29434,"Hokkaido",8.0e+06, 1.727393e+07, 1.701356e+07, 1.753430e+07
"18121", 29450,"Hokkaido",6.5e+06, 9.829081e+06, 9.001335e+06, 1.065683e+07
"18165", 29516,"Hokkaido",2.4e+06, 1.266833e+07, 1.237419e+07, 1.296247e+07
"18187", 29564,"Hokkaido",1.5e+07,-6.846954e+06,-7.330910e+06,-6.362998e+06
"18195", 29583,"Hokkaido",2.8e+07, 2.921108e+07, 2.868336e+07, 2.973879e+07
"18205", 29602,"Hokkaido",3.0e+07, 1.852564e+07, 1.808098e+07, 1.897031e+07
"18225", 29635,"Hokkaido",2.3e+07, 2.358617e+07, 2.328600e+07, 2.388633e+07
"18253", 29689,"Hokkaido",2.4e+07, 2.511349e+07, 2.479336e+07, 2.543363e+07
"18279", 29734,"Hokkaido",7.7e+06, 1.393931e+07, 1.350582e+07, 1.437280e+07
"18328", 29816,"Hokkaido",3.0e+07,-1.400907e+07,-1.479922e+07,-1.321892e+07
"18504", 30135,"Hokkaido",2.2e+07, 2.830756e+07, 2.792894e+07, 2.868619e+07
"18582", 30264,"Hokkaido",2.6e+07, 1.753235e+07, 1.686048e+07, 1.820422e+07
"18591", 30283,"Hokkaido",1.9e+07, 1.255127e+07, 1.223464e+07, 1.286789e+07
"18631", 30365,"Hokkaido",1.4e+07, 1.147557e+07, 1.121194e+07, 1.173920e+07
"18667", 30436,"Hokkaido",5.8e+06, 1.170261e+07, 1.143496e+07, 1.197027e+07
"22658", 36743,"Hokkaido",1.5e+07, 1.703939e+07, 1.672374e+07, 1.735505e+07
"22670", 36757,"Hokkaido",5.0e+06, 1.223112e+07, 1.208221e+07, 1.238003e+07
"22694", 36794,"Hokkaido",2.4e+07, 1.685427e+07, 1.643547e+07, 1.727308e+07
"22733", 36850,"Hokkaido",2.3e+07,-6.756055e+06,-7.358016e+06,-6.154094e+06
"22779", 36913,"Hokkaido",1.2e+07, 2.283291e+07, 2.251494e+07, 2.315088e+07
"22830", 37004,"Hokkaido",5.0e+06, 3.114813e+06, 2.555690e+06, 3.673936e+06
"22913", 37123,"Hokkaido",1.1e+07, 9.928006e+06, 9.637037e+06, 1.021898e+07
"22948", 37181,"Hokkaido",3.1e+07, 3.018506e+07, 2.734236e+07, 3.302777e+07
"23014", 37272,"Hokkaido",3.2e+07, 3.359218e+07, 3.288123e+07, 3.430313e+07
